,Description,Population,Date de début,Date de fin,Académies,Zones,annee_scolaire
222,Vacances de Noël,-,2017-12-22T23:00:00+00:00,2018-01-07T23:00:00+00:00,Paris,Zone C,2017-2018
230,Vacances de Noël,-,2018-12-21T23:00:00+00:00,2019-01-06T23:00:00+00:00,Paris,Zone C,2018-2019
245,Pont de l'Ascension,-,2020-05-19T22:00:00+00:00,2020-05-24T22:00:00+00:00,Paris,Zone C,2019-2020
248,Vacances de Noël,-,2020-12-18T23:00:00+00:00,2021-01-03T23:00:00+00:00,Paris,Zone C,2020-2021
257,Vacances d'Été,Élèves,2021-07-05T22:00:00+00:00,2021-09-01T22:00:00+00:00,Paris,Zone C,2020-2021
269,Vacances d'Été,Enseignants,2022-07-06T22:00:00+00:00,2022-08-30T22:00:00+00:00,Paris,Zone C,2021-2022
271,Vacances d'Hiver,-,2023-02-17T23:00:00+00:00,2023-03-05T23:00:00+00:00,Paris,Zone C,2022-2023
276,Vacances de Printemps,-,2024-04-05T22:00:00+00:00,2024-04-21T22:00:00+00:00,Paris,Zone C,2023-2024
287,Vacances d'Été,Enseignants,2025-07-04T22:00:00+00:00,2025-08-28T22:00:00+00:00,Paris,Zone C,2024-2025
290,Vacances d'Hiver,-,2026-02-20T23:00:00+00:00,2026-03-08T23:00:00+00:00,Paris,Zone C,2025-2026
687,Vacances de Printemps,-,2019-04-19T22:00:00+00:00,2019-05-05T22:00:00+00:00,Paris,Zone C,2018-2019
692,Vacances d'Hiver,-,2020-02-07T23:00:00+00:00,2020-02-23T23:00:00+00:00,Paris,Zone C,2019-2020
696,Vacances d'Été,Élèves,2020-07-03T22:00:00+00:00,2020-08-31T22:00:00+00:00,Paris,Zone C,2019-2020
704,Vacances d'Été,Enseignants,2021-07-05T22:00:00+00:00,2021-08-31T22:00:00+00:00,Paris,Zone C,2020-2021
713,Pont de l'Ascension,-,2022-05-25T22:00:00+00:00,2022-05-29T22:00:00+00:00,Paris,Zone C,2021-2022
726,Pont de l'Ascension,-,2024-05-08T22:00:00+00:00,2024-05-12T22:00:00+00:00,Paris,Zone C,2023-2024
730,Vacances de Noël,-,2024-12-20T23:00:00+00:00,2025-01-05T23:00:00+00:00,Paris,Zone C,2024-2025
733,Vacances de Printemps,-,2025-04-11T22:00:00+00:00,2025-04-27T22:00:00+00:00,Paris,Zone C,2024-2025
1104,Vacances d'Été,Enseignants,2018-07-06T22:00:00+00:00,2018-08-30T22:00:00+00:00,Paris,Zone C,2017-2018
1106,Vacances d'Hiver,-,2019-02-22T23:00:00+00:00,2019-03-10T23:00:00+00:00,Paris,Zone C,2018-2019
1110,Pont de l'Ascension,-,2019-05-28T22:00:00+00:00,2019-06-02T22:00:00+00:00,Paris,Zone C,2018-2019
1111,Vacances d'Été,Élèves,2019-07-05T22:00:00+00:00,2019-09-01T22:00:00+00:00,Paris,Zone C,2018-2019
1113,Vacances d'Été,Enseignants,2019-07-05T22:00:00+00:00,2019-08-29T22:00:00+00:00,Paris,Zone C,2018-2019
1117,Vacances de Noël,-,2019-12-20T23:00:00+00:00,2020-01-05T23:00:00+00:00,Paris,Zone C,2019-2020
1120,Vacances de Printemps,-,2020-04-03T22:00:00+00:00,2020-04-19T22:00:00+00:00,Paris,Zone C,2019-2020
1127,Pont de l'Ascension,-,2021-05-12T22:00:00+00:00,2021-05-16T22:00:00+00:00,Paris,Zone C,2020-2021
1128,Vacances de Noël,-,2021-12-17T23:00:00+00:00,2022-01-02T23:00:00+00:00,Paris,Zone C,2021-2022
1129,Vacances de Printemps,-,2022-04-22T22:00:00+00:00,2022-05-08T22:00:00+00:00,Paris,Zone C,2021-2022
1131,Vacances d'Été,Élèves,2022-07-06T22:00:00+00:00,2022-08-31T22:00:00+00:00,Paris,Zone C,2021-2022
1133,Vacances de la Toussaint,-,2022-10-21T22:00:00+00:00,2022-11-06T23:00:00+00:00,Paris,Zone C,2022-2023
1138,Vacances de Printemps,-,2023-04-21T22:00:00+00:00,2023-05-08T22:00:00+00:00,Paris,Zone C,2022-2023
1142,Vacances d'Été,Enseignants,2023-07-07T22:00:00+00:00,2023-08-31T22:00:00+00:00,Paris,Zone C,2022-2023
1149,Vacances d'Été,Élèves,2024-07-05T22:00:00+00:00,2024-09-01T22:00:00+00:00,Paris,Zone C,2023-2024
1150,Vacances d'Été,Enseignants,2024-07-05T22:00:00+00:00,2024-08-29T22:00:00+00:00,Paris,Zone C,2023-2024
1152,Vacances de la Toussaint,-,2024-10-18T22:00:00+00:00,2024-11-03T23:00:00+00:00,Paris,Zone C,2024-2025
1155,Vacances d'Hiver,-,2025-02-14T23:00:00+00:00,2025-03-02T23:00:00+00:00,Paris,Zone C,2024-2025
1159,Vacances d'Été,Élèves,2025-07-04T22:00:00+00:00,2025-08-31T22:00:00+00:00,Paris,Zone C,2024-2025
1162,Vacances de Noël,-,2025-12-19T23:00:00+00:00,2026-01-04T23:00:00+00:00,Paris,Zone C,2025-2026
1519,Vacances de la Toussaint,-,2017-10-20T22:00:00+00:00,2017-11-05T23:00:00+00:00,Paris,Zone C,2017-2018
1521,Vacances d'Été,Élèves,2018-07-06T22:00:00+00:00,2018-09-02T22:00:00+00:00,Paris,Zone C,2017-2018
1523,Vacances de la Toussaint,-,2018-10-19T22:00:00+00:00,2018-11-04T23:00:00+00:00,Paris,Zone C,2018-2019
1532,Vacances d'Été,Enseignants,2020-07-03T22:00:00+00:00,2020-08-30T22:00:00+00:00,Paris,Zone C,2019-2020
1537,Vacances de Printemps,-,2021-04-09T22:00:00+00:00,2021-04-25T22:00:00+00:00,Paris,Zone C,2020-2021
1543,Vacances de Noël,-,2022-12-16T23:00:00+00:00,2023-01-02T23:00:00+00:00,Paris,Zone C,2022-2023
1551,Vacances de Noël,-,2023-12-22T23:00:00+00:00,2024-01-07T23:00:00+00:00,Paris,Zone C,2023-2024
1553,Vacances d'Hiver,-,2024-02-09T23:00:00+00:00,2024-02-25T23:00:00+00:00,Paris,Zone C,2023-2024
1559,Pont de l'Ascension,-,2025-05-28T22:00:00+00:00,2025-06-01T22:00:00+00:00,Paris,Zone C,2024-2025
1564,Vacances de la Toussaint,-,2025-10-17T22:00:00+00:00,2025-11-02T23:00:00+00:00,Paris,Zone C,2025-2026
1570,Début des Vacances d'Été,-,2026-07-03T22:00:00+00:00,2026-07-03T22:00:00+00:00,Paris,Zone C,2025-2026
1957,Vacances d'Hiver,-,2018-02-16T23:00:00+00:00,2018-03-04T23:00:00+00:00,Paris,Zone C,2017-2018
1959,Vacances de Printemps,-,2018-04-13T22:00:00+00:00,2018-04-29T22:00:00+00:00,Paris,Zone C,2017-2018
1967,Vacances de la Toussaint,-,2019-10-18T22:00:00+00:00,2019-11-03T23:00:00+00:00,Paris,Zone C,2019-2020
1971,Vacances de la Toussaint,-,2020-10-16T22:00:00+00:00,2020-11-01T23:00:00+00:00,Paris,Zone C,2020-2021
1974,Vacances d'Hiver,-,2021-02-12T23:00:00+00:00,2021-02-28T23:00:00+00:00,Paris,Zone C,2020-2021
1977,Vacances de la Toussaint,-,2021-10-22T22:00:00+00:00,2021-11-07T23:00:00+00:00,Paris,Zone C,2021-2022
1980,Vacances d'Hiver,-,2022-02-18T23:00:00+00:00,2022-03-06T23:00:00+00:00,Paris,Zone C,2021-2022
1987,Pont de l'Ascension,-,2023-05-17T22:00:00+00:00,2023-05-21T22:00:00+00:00,Paris,Zone C,2022-2023
1989,Vacances d'Été,Élèves,2023-07-07T22:00:00+00:00,2023-09-03T22:00:00+00:00,Paris,Zone C,2022-2023
1993,Vacances de la Toussaint,-,2023-10-20T22:00:00+00:00,2023-11-05T23:00:00+00:00,Paris,Zone C,2023-2024
2004,Vacances de Printemps,-,2026-04-17T22:00:00+00:00,2026-05-03T22:00:00+00:00,Paris,Zone C,2025-2026
2006,Pont de l'Ascension,-,2026-05-13T22:00:00+00:00,2026-05-17T22:00:00+00:00,Paris,Zone C,2025-2026
